Adresse,Smartscore,Win Rate,Markets,Realized PnL,Bucket smart,Bucket last date,Total Trades (Analyzed),Avg Buys/Day (5d),Avg Sells/Day (5d),Avg Total Trades/Day (5d),Buys Last 5 Days,Sells Last 5 Days,Total Trades Last 5 Days,New Markets (5d),Total Unique Markets,Oldest Trade Date,Newest Trade Date,Analysis Date
0xef104cc70851a4246e8e06790d7fad9708190b43,12.0907734,0.5701943844,463,87856.21175,Very Smart,daily trader,500,100.0,0.0,100.0,500,0,500,67,67,2025-10-13T11:01:59+00:00,2025-10-15T13:36:23+00:00,2025-10-15T13:49:07.164324+00:00
0x29cdb44e2ccbde61a00b8e6056101c90c77bcbc5,16.94321059,0.6338028169,71,7945.125964,Very Smart,daily trader,375,3.0,0.0,3.0,15,0,15,3,56,2024-11-10T12:04:15+00:00,2025-10-15T12:54:51+00:00,2025-10-15T13:49:08.418880+00:00
