User,Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
https://hashdive.com/Analyze_User?user_address=0xa1afdc1e14e844de60009060de2130c22abed889,0xd63ec079c973be435c69ec66c878978a0e9271df,10.78116364,0.875,32,12222.13983,trade,Market 0x69288fa2...,$210.60,2025-10-15 01:01:05,11,0,14,$0.00,No positions,$0.00,Market 0x69288fa2...,$210.60,2025-10-15 01:01:05,No orders,$0.00,N/A,2025-10-15T13:15:45.109549+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xdbade4c82fb72780a0db9a38f821d8671aba9c95,0xd63ec079c973be435c69ec66c878978a0e9271df,10.78116364,0.875,32,12222.13983,trade,Market 0x69288fa2...,$210.60,2025-10-15 01:01:05,11,0,14,$0.00,No positions,$0.00,Market 0x69288fa2...,$210.60,2025-10-15 01:01:05,No orders,$0.00,N/A,2025-10-15T13:20:06.813245+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xe6a8c937ed99a5587f6f699833d4a25431a800c7,0x8f3dcd87b7f1c9ce3299efd0aeb8ed02b224f7af,15.03787164,0.5925925926,27,7951.866782,trade,Market 0x87842dce...,$27.82,2025-10-15 01:00:09,2,0,12,$0.00,No positions,$0.00,Market 0x87842dce...,$27.82,2025-10-15 01:00:09,No orders,$0.00,N/A,2025-10-15T13:18:30.754106+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xc9dcc3d90ad3e34fe4132eb8661ae728d6da9026,0x3a9e002f1d1644e8eda61630c9105b625914f27a,10.57741346,0.5979381443,97,28147.00539,trade,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,7,0,20,$0.00,No positions,$0.00,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,No orders,$0.00,N/A,2025-10-15T13:09:43.602023+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xe6c9eee27de792a9fdcdd322822452625d0f975e,0x3a9e002f1d1644e8eda61630c9105b625914f27a,10.57741346,0.5979381443,97,28147.00539,trade,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,7,0,20,$0.00,No positions,$0.00,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,No orders,$0.00,N/A,2025-10-15T13:15:51.974982+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x43440ab002eaac9fede6f9d21bea96d84228f90d,0x3a9e002f1d1644e8eda61630c9105b625914f27a,10.57741346,0.5979381443,97,28147.00539,trade,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,7,0,20,$0.00,No positions,$0.00,Market 0x5d316038...,$465.30,2025-10-15 00:55:27,No orders,$0.00,N/A,2025-10-15T13:20:13.868340+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xffb0b9b292e406fd250854a35a0c9bd5612afa37,0xf80077047ba57d749b7ac8e4303612d89e80f62d,12.13137701,0.5945945946,74,23344.19205,trade,Market 0xb8dcf117...,$1220.00,2025-10-15 00:35:39,30,0,20,$0.00,No positions,$0.00,Market 0xb8dcf117...,$1220.00,2025-10-15 00:35:39,No orders,$0.00,N/A,2025-10-15T13:15:05.560241+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xc7d88a8f8331b719d1a23bfde4f60fea4f71a0a6,0xf80077047ba57d749b7ac8e4303612d89e80f62d,12.13137701,0.5945945946,74,23344.19205,trade,Market 0xb8dcf117...,$1220.00,2025-10-15 00:35:39,30,0,20,$0.00,No positions,$0.00,Market 0xb8dcf117...,$1220.00,2025-10-15 00:35:39,No orders,$0.00,N/A,2025-10-15T13:19:26.995416+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xebc1acaef84859ecf9d143bdaed44e3c7ae15dae,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,1.343023716,0.5938566553,293,321384.4676,trade,Market 0xbf52f05b...,$8050.00,2025-10-15 00:34:53,100,0,20,$0.00,No positions,$0.00,Market 0xbf52f05b...,$8050.00,2025-10-15 00:34:53,No orders,$0.00,N/A,2025-10-15T13:06:35.855100+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x9c09fed884937c43fc65e26460f613cc4f2cc9b4,0xf5198df69e13937a40d1c76d6f72d9aa067d906b,3.144313456,0.5703703704,1080,97347.57504,trade,Market 0x1073cc34...,$280.38,2025-10-15 00:19:29,100,0,20,$0.00,No positions,$0.00,Market 0x1073cc34...,$280.38,2025-10-15 00:19:29,No orders,$0.00,N/A,2025-10-15T13:04:42.168208+00:00,Smart,daily trader
